
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
     1 -1.3595e+01 +1.7119e+02 +0.0000e+00 
     2 +0.0000e+00 -1.0938e+01 +0.0000e+00 
     3 -6.4389e+00 -6.5938e+01 +0.0000e+00 
     4 +0.0000e+00 -1.1082e+00 +0.0000e+00 
     5 -6.0558e+00 +0.0000e+00 +0.0000e+00 
     8 -3.9166e+00 +0.0000e+00 +0.0000e+00 
    19 +9.9577e+00 +0.0000e+00 +0.0000e+00 
    20 +6.6315e-01 +0.0000e+00 +0.0000e+00 
    21 +0.0000e+00 +2.0283e+02 +0.0000e+00 
    22 +0.0000e+00 +1.0010e+02 +0.0000e+00 
    23 +0.0000e+00 +3.8521e+01 +0.0000e+00 
    24 +0.0000e+00 +2.9148e+01 +0.0000e+00 
    25 +0.0000e+00 +8.5575e+00 +0.0000e+00 
    26 +0.0000e+00 +5.1872e+00 +0.0000e+00 
    27 +0.0000e+00 +7.5403e+00 +0.0000e+00 
    28 +0.0000e+00 +3.1523e+00 +0.0000e+00 
    29 +0.0000e+00 +4.3900e+00 +0.0000e+00 
    30 +0.0000e+00 +2.2726e+00 +0.0000e+00 
    31 +0.0000e+00 -2.5172e+00 +0.0000e+00 
    32 +0.0000e+00 -7.2638e+00 +0.0000e+00 
    33 +0.0000e+00 -8.4802e+01 +0.0000e+00 
    34 +0.0000e+00 -3.6194e+01 +0.0000e+00 
    35 +0.0000e+00 -1.2446e+01 +0.0000e+00 
    36 +0.0000e+00 -1.1179e+01 +0.0000e+00 
    37 +0.0000e+00 -5.7540e+00 +0.0000e+00 
    38 +0.0000e+00 -2.4989e+00 +0.0000e+00 
    39 +0.0000e+00 -6.6953e-01 +0.0000e+00 
    40 +0.0000e+00 +3.8636e+00 +0.0000e+00 
    41 +0.0000e+00 -4.1516e+00 +0.0000e+00 
    42 +0.0000e+00 -3.2235e+00 +0.0000e+00 
    43 +0.0000e+00 -3.0807e+00 +0.0000e+00 
    44 +0.0000e+00 -4.0017e+00 +0.0000e+00 
   269 -2.5079e+01 +0.0000e+00 +0.0000e+00 
   270 -1.4076e+01 +0.0000e+00 +0.0000e+00 
   271 -1.4869e+01 +0.0000e+00 +0.0000e+00 
   272 -1.5335e+01 +0.0000e+00 +0.0000e+00 
   273 -1.9360e+01 +0.0000e+00 +0.0000e+00 
   274 -1.6498e+01 +0.0000e+00 +0.0000e+00 
   275 -1.5378e+01 +0.0000e+00 +0.0000e+00 
   276 -1.5006e+01 +0.0000e+00 +0.0000e+00 
   277 -1.5591e+01 +0.0000e+00 +0.0000e+00 
   278 -1.6641e+01 +0.0000e+00 +0.0000e+00 
   279 -1.5430e+01 +0.0000e+00 +0.0000e+00 
   280 -1.3343e+01 +0.0000e+00 +0.0000e+00 
   281 -2.0165e+01 +0.0000e+00 +0.0000e+00 
   282 -1.5633e+01 +0.0000e+00 +0.0000e+00 
   283 -1.2934e+01 +0.0000e+00 +0.0000e+00 
   284 -2.0115e+01 +0.0000e+00 +0.0000e+00 
   285 -1.0982e+01 +0.0000e+00 +0.0000e+00 
   286 -1.6274e+01 +0.0000e+00 +0.0000e+00 
   287 -9.4923e+00 +0.0000e+00 +0.0000e+00 
   288 -1.5426e+01 +0.0000e+00 +0.0000e+00 
   289 -1.5905e+01 +0.0000e+00 +0.0000e+00 
   290 -1.6813e+01 +0.0000e+00 +0.0000e+00 
   291 -1.5238e+01 +0.0000e+00 +0.0000e+00 
   292 -1.5074e+01 +0.0000e+00 +0.0000e+00 
   293 -1.4795e+01 +0.0000e+00 +0.0000e+00 
