
Fuerzas directamente en los nudos (reacciones)
  nudo          fx          fy          fz
     1 +0.0000e+00 -2.0734e+00 +0.0000e+00 
     2 +0.0000e+00 -1.7723e+00 +0.0000e+00 
     3 +0.0000e+00 +2.1980e+00 +0.0000e+00 
     4 +0.0000e+00 +2.1881e+00 +0.0000e+00 
     5 +0.0000e+00 +0.0000e+00 -1.8765e+01 
     6 +0.0000e+00 +0.0000e+00 -1.8529e+01 
     9 +0.0000e+00 +0.0000e+00 -1.5873e+01 
    11 +0.0000e+00 +0.0000e+00 -4.1806e+01 
    13 +0.0000e+00 +0.0000e+00 +3.9630e+01 
    15 +0.0000e+00 +0.0000e+00 +1.5739e+01 
    17 +0.0000e+00 +0.0000e+00 +1.8468e+01 
    19 +0.0000e+00 +0.0000e+00 +1.8615e+01 
    21 +0.0000e+00 +0.0000e+00 +1.5784e+01 
    23 +0.0000e+00 +0.0000e+00 +5.9756e+01 
    25 +0.0000e+00 +0.0000e+00 -5.8823e+01 
    27 +0.0000e+00 +0.0000e+00 -1.5891e+01 
    29 +0.0000e+00 -4.2259e-01 +0.0000e+00 
    30 +0.0000e+00 +2.4986e+00 +0.0000e+00 
    31 +0.0000e+00 +2.5485e+00 +0.0000e+00 
    32 +0.0000e+00 +3.2866e+00 +0.0000e+00 
    33 +0.0000e+00 +8.5930e+00 +0.0000e+00 
    34 +0.0000e+00 +3.4700e+01 +0.0000e+00 
    35 +0.0000e+00 +1.3534e+02 +0.0000e+00 
    36 +0.0000e+00 +1.4511e+02 +0.0000e+00 
    37 +0.0000e+00 +3.7049e+01 +0.0000e+00 
    38 +0.0000e+00 +5.0061e+00 +0.0000e+00 
    39 +0.0000e+00 +4.2497e+00 +0.0000e+00 
    40 +0.0000e+00 +2.0698e+00 +0.0000e+00 
    41 +0.0000e+00 +3.4719e+00 +0.0000e+00 
    42 +0.0000e+00 -1.5766e+00 +0.0000e+00 
    43 +0.0000e+00 -4.3903e-01 +0.0000e+00 
    44 +0.0000e+00 -1.2933e+00 +0.0000e+00 
    45 +0.0000e+00 -3.3548e+00 +0.0000e+00 
    46 +0.0000e+00 -3.3410e+00 +0.0000e+00 
    47 +0.0000e+00 -8.2871e+00 +0.0000e+00 
    48 +0.0000e+00 -3.8125e+01 +0.0000e+00 
    49 +0.0000e+00 -1.4081e+02 +0.0000e+00 
    50 +0.0000e+00 -1.1711e+02 +0.0000e+00 
    51 +0.0000e+00 -4.4928e+01 +0.0000e+00 
    52 +0.0000e+00 -7.4063e+00 +0.0000e+00 
    53 +0.0000e+00 -8.3795e+00 +0.0000e+00 
    54 +0.0000e+00 +2.4774e+00 +0.0000e+00 
    55 +0.0000e+00 -4.6371e+00 +0.0000e+00 
    56 +0.0000e+00 +1.6732e+00 +0.0000e+00 
    57 +0.0000e+00 +0.0000e+00 -5.4205e+01 
    58 +0.0000e+00 +0.0000e+00 -5.5399e+01 
    59 +0.0000e+00 +0.0000e+00 -5.5691e+01 
    60 +0.0000e+00 +0.0000e+00 -5.4913e+01 
    61 +0.0000e+00 +0.0000e+00 -5.5299e+01 
    62 +0.0000e+00 +0.0000e+00 -5.4472e+01 
    63 +0.0000e+00 +0.0000e+00 -5.6925e+01 
    64 +0.0000e+00 +0.0000e+00 -6.7479e+01 
    65 +0.0000e+00 +0.0000e+00 -5.6087e+01 
    66 +0.0000e+00 +0.0000e+00 -5.5310e+01 
    67 +0.0000e+00 +0.0000e+00 -5.4476e+01 
    68 +0.0000e+00 +0.0000e+00 -5.5581e+01 
    69 +0.0000e+00 +0.0000e+00 -5.5089e+01 
    70 +0.0000e+00 +0.0000e+00 -5.3871e+01 
   631 +0.0000e+00 +0.0000e+00 -3.1279e+01 
   632 +0.0000e+00 +0.0000e+00 -4.8321e+01 
   633 +0.0000e+00 +0.0000e+00 -4.6513e+01 
   634 +0.0000e+00 +0.0000e+00 -4.8083e+01 
   635 +0.0000e+00 +0.0000e+00 -4.7904e+01 
   636 +0.0000e+00 +0.0000e+00 -4.6763e+01 
   637 +0.0000e+00 +0.0000e+00 -4.6079e+01 
   782 +0.0000e+00 +0.0000e+00 -3.1888e+01 
   783 +0.0000e+00 +0.0000e+00 -2.7814e+01 
   784 +0.0000e+00 +0.0000e+00 -2.1178e+01 
   785 +0.0000e+00 +0.0000e+00 -1.7920e+01 
   786 +0.0000e+00 +0.0000e+00 -1.2372e+01 
   787 +0.0000e+00 +0.0000e+00 -8.5050e+00 
   788 +0.0000e+00 +0.0000e+00 -5.2790e+00 
   789 +0.0000e+00 +0.0000e+00 +1.3529e+00 
   790 +0.0000e+00 +0.0000e+00 +4.3042e+00 
   791 +0.0000e+00 +0.0000e+00 +7.8662e+00 
   792 +0.0000e+00 +0.0000e+00 +1.3072e+01 
   793 +0.0000e+00 +0.0000e+00 +1.6756e+01 
   794 +0.0000e+00 +0.0000e+00 +2.1952e+01 
   795 +0.0000e+00 +0.0000e+00 +2.6492e+01 
   796 +0.0000e+00 +0.0000e+00 +3.1893e+01 
   949 +0.0000e+00 +0.0000e+00 +4.7378e+01 
   950 +0.0000e+00 +0.0000e+00 +4.8111e+01 
   951 +0.0000e+00 +0.0000e+00 +4.7721e+01 
   952 +0.0000e+00 +0.0000e+00 +4.7677e+01 
   953 +0.0000e+00 +0.0000e+00 +4.5932e+01 
   954 +0.0000e+00 +0.0000e+00 +4.8110e+01 
   955 +0.0000e+00 +0.0000e+00 +3.1079e+01 
  1099 +0.0000e+00 +0.0000e+00 +5.3634e+01 
